,id,description,mpn,total_stock,batch_average,time_average,last_batch,risk,rop_estimate
33,0pf51gsmkwhfr9j1s1qhz79kjp,Switch DIP ON OFF SPST 6 Raised Slide 0.1A 20VDC Gull Wing 2000Cycles 2.54mm SMD Tube,219-6MST,3,-15.0,0.0,19,Low - not enough data,-26.0
34,11fvjzk7etjdvbtgsnhhfaa4fv,UFO TARGET BOARD MPC5777C  (UNTESTED),,14,-3.666666666666666,276.0,55,Low,821.0
35,1g44amj944g3saw850ar96g2a0,SAM3U Series 96 MHz 256 kB Flash 52 kB SRAM 32-Bit Microcontroller - LQFP-144,ATSAM3U4EA-AU,111,-50.0,0.0,332,Low - not enough data,-7.0
36,14s4kjg2hyj3wbj7k46g5hdffd,"12 1⁄8 x 9 1⁄4 x 4"" White Tab Locking Literature Mailers",S-6714,3,-2.333333333333333,56.166666666666664,21,Medium,49.166666666666664
37,122cmynabyhhqbyefhh8zq0d69,"High-performance foundation line, ARM Cortex-M4 core with DSP and FPU, 1 Mbyte Flash, 168 MHz CPU, ART Accelerator",STM32F405RGT6,0,-100.0,0.0,341,Low - not enough data,-348.0
38,1gkh02zyr4jkgamrb0914ekcpr,SOCKET CAP SCREW (92210A146),92210A146,397,-116.0,107.0,39,Low,314.0
39,14zjpk8zrwj9781911pqfs9f3b,RC Series 0603 0.1 W 2 kOhms 1% ±100 ppm/°C SMT Thick Film Chip Resistor,RC0603FR-072KL,1443,-102.4111111111111,39.333333333333336,76,Low,543.6666666666667
40,0xhfw7cbm2h3h9jhchkjqdpwz9,Nano quick starter guide,,353,-273.5,0.0,301,Low - not enough data,-7.0
41,1hnxyw1ekcjxza0cdt1jgckbsb,DIODE SCHOTTKY 40V 1A DO214AC,CDBA140-G,245,-54.0,9.333333333333334,110,Medium,30.333333333333336
42,2c3f4mnxz0k4ab0h4t72mnk559,"4.8"" Long Nozzle, Taper Tip for Twist-Lock Connection Two-Part Cartridge (10 PACKS)....(STATIC MIXER 5MM 24 EB SQ 10PCS)",74695A222,20,-6.5,0.0,39,Low - not enough data,-7.0
43,15b0mq66x0gm5aanpxgtvzpknr,EAR99 65LVDS2 Tape & Reel (TR) LVDS interface transceiver 454mV 0.00002A 13.012431mg 3.1ns,SN65LVDS2DBVR,738,-3.0,0.0,329,Low - not enough data,-7.0
44,1facbd5n6ygq08mjg7aygs2e1d,CWHUSKY LABEL rev. 1.1B,,26,-1.0,0.0,297,Low - not enough data,-7.0
45,1fbk5jsrmrk6n8ads94pfv9qj2,Chipshover Power Switch Cable,,13,-5.5,113.0,215,Low,219.0
46,1jv4s2xzycgpmb4ph57yy02bw1,"3"" Jumper Cable, dupont female-female, black, white, orange, and red",B451-2408-12-04-01,999,-1.0,0.0,3,Low - not enough data,-7.0
47,1mb5fx8fzwkgva5ydjzxp1wa9x,S-8264,,75,-10.775,18.1,6,Low,101.60000000000001
48,1q638v4zxejmfbwv2aqjyqjbcb,RC Series 0603 0.1 W 33 Ohms 1% ±100 ppm/°C SMT Thick Film Chip Resistor,RC0603FR-0733RL,2021,-202.72222222222226,46.4,109,Low,410.59999999999997
49,1f18krndqwhj98n92tp6zajxj8,CW503 Front-Panel,,150,-54.0,0.0,95,Low - not enough data,-7.0
50,0bvr8xka74jvkaxkqtebgf845v,,,399,-24.0,2.5,319,Medium,33.0
51,26pnamdgtyjzqawn1r1s0zjnpd,"Hex L-Key with Standard Tip, 2 mm Size, 2"" Overall Length",7289A12,37,-3.166666666666666,49.5,68,Low,537.5
52,2d4zqazzcyj0hbfxtvdevj12nz,TL431 Series 36 V 100mA Adjustable Precision Shunt Regulator - SOT-23,"TL431ACDBZR,215",278,-51.0,0.0,334,Low - not enough data,-7.0
53,1p0jswmmz4kebabxmwx0pda47v,"RES, 10M, 1%, 1210, THICK FILM",KTR25JZPF1005,17,-14.0,0.0,329,Low - not enough data,-7.0
54,173hbeq6ywkrc9vp0jk63vtw8c,"18-8 Stainless Steel Locknut with External-Tooth Lock Washer,M3 x 0.5mm Thread",90923A216,72,-21.5,53.5,39,Low,153.5
55,176h9kx5vwkaqay8kxz6r58ajf,RC Series 0603 0.1 W 100 kOhms 1% ±100 ppm/°C SMT Thick Film Chip Resistor,RC0603FR-07100KL,2668,-45.5,41.0,67,Low,2371.0
56,0ne8bbyzkyhr58y6f9b5rc58ms,Cable Assembly USB 1m USB 2.0 Type A to USB 2.0 Type B 4 to 4 POS M-M,102-1030-BL-F0100,15,-10.933035714285714,15.497863247863249,5,High,8.497863247863249
57,0e92vxae1pg5eb9mr9x6kg3g3x,"FAN BERGEN & LUNA OT (Female Threaded Hex Standoff, Aluminum, 1/8"" Hex, 3/16"" Long, 2-56 Thread)",91780A021,68,-39.44444444444444,19.733333333333334,61,High,12.733333333333334
58,1885wtann0hpnagyk66f2s7qks,UFO Target board MPC5676R,,3,-2.033333333333333,161.5,4,Low,154.5
59,0nhh9wcs5agrbbs4jy2cfzsjmd,CHIPSHOUTER END COVER B,,12,-38.5,0.0,146,Low - not enough data,-153.0
60,0eqg9sjyhghjc8bqbjqxjnnp2d,Raspberry Pi Pico Embedded Dev Module,SC0915,32,-18.513333333333335,25.975,5,High,18.975
61,2w03vgmw0chdqaqrqnhmw51a4y,"Anti-Static Bag 4x6"".....Anti-Static Control Products 4 x 6"" pkg./100",30046,1072,-34.3,41.757936507936506,6,Low,1287.4960317460318
62,0jq707dqepkpyah3dz4r9p83q9,6 inch USB C-C Cable,DH-20UE00062-NH,37,-9.666666666666666,112.0,61,Low,329.0
63,2gsf446jm4jv294kqehtpb9y5e,Conn SMA RCP 0Hz to 18GHz 50Ohm Solder ST Thru-Hole Gold Over Nickel,142-0701-231,90,-30.0,0.0,62,Low - not enough data,-7.0
64,1cdhfsdp6gjq3ajt1k55h84f24,Chipshover,,11,-5.5,113.0,215,Low,219.0
65,26kjth87tmj009nff5n11cbgry,C Series 0603 2.2 uF 16 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor,C1608X5R1C225K080AB,4000,-988.0,0.0,334,Low - not enough data,-7.0
66,1c2gecfedeg2893kvt5pxktxhb,Diode Schottky Rectifier 40V 0.5A SOD-123 SMT RoHS,MBR0540-TP,235,-54.0,9.333333333333334,110,Medium,30.333333333333336
67,10h4fgshdahqkbssvja3p320s6,PicoEMP,,4,-1.085,6.740350877192983,19,High,13.22105263157895
68,1zm2jfb3wpjk39d0tm4rynkfe6,"MCU, 32BIT, 133MHZ, QFN-56;",RP2040TR7,500,-500.0,0.0,332,Low - not enough data,-7.0
69,2m0n509xygjfs93q9bc95f8x63,JS Series DPDT On-On Gull Wing Surface Mount Subminiature Slide Switch,JS202011SCQN,19,-43.71666666666667,61.6,19,Medium,35.0
70,2m7km44f5yjmt9s6kjcnxzpsc7,,,8,-4.0,0.0,286,Low - not enough data,-7.0
71,1yw4vrzwr6ja39fcms0x7keesa,NPCA Development Boards & Kits - ARM STM32F3 Target for CW308 (UNTESTED),,500,-200.0,0.0,96,Low - not enough data,-7.0
72,2tycznezhejxd84kkq2p2wr0q4,UFO Target ESP32 TESTED,,28,-3.175,139.77777777777777,21,Low,1111.2222222222222
73,1xdrmy52wwka2976qev4q9zb0r,MCU 32-Bit ARM Cortex M23 RISC 64KB Flash 3.3V 32-Pin TQFP Tray/Tube,ATSAML11E16A-AU,1,-56.0,34.666666666666664,201,High - overdue for batch,-173.0
74,0tkvkqnzfak779zg69yjhetchv,"Microcoaxial RF, 50 Ohm, PCB Vertical Jack Receptacle, SMT, 1.25mm (.049"""") Mounted Height",73412-0110,9,-2.416666666666666,9.0,160,High,20.0
75,39raqxg2ztj21bafmd3k5xabfq,Standoff; Threaded; Female; 1/4 Round; 4-40 Thread; .375 L; Alum/Clear Iridite,3479,681,-122.57666666666667,6.903039010797632,14,High,27.51519505398816
76,2esef7agerkpd9b9qhbajc01sq,Backshell (90 deg) Orientation 1,,5,-1.25,0.0,27,Low - not enough data,-7.0
77,1yw7jdyhj4k6vakymgjm6aqx90,Development Boards & Kits - AVR NOTDuino Kit,,1,-2.0,0.0,31,Low - not enough data,-38.0
78,307q06zt54jwsacpsxpw30ssq1,Chipshover ESTOP cable,,6,-3.333333333333333,0.0,215,Low - not enough data,-7.0
79,228p594v2ykds8d7v1jmb4shbe,Jumper Wire Kit,920-0169-50,0,-2.0,0.0,87,Low - not enough data,-94.0
80,17fq1a9c7jkx583w316d3c4krx,Screw Caphead 6-32 1/2,92196A148,60,-34.0,0.0,329,Low - not enough data,-7.0
81,2n9chk3dk4j8d9hr8xj12dfjf3,"CONN FEMALE 2POS .100"" R/A GOLD",PPPC021LGBN-RC,239,-54.0,9.333333333333334,110,Medium,30.333333333333336
82,30dx538craha1a3va7pw5n56kx,USB INTERFACE board REV. 03   (TESTED),,3,-11.03095238095238,31.833333333333332,6,High,18.0
83,18nbvxqdt4hmsabqrt275qgpe1,Thick Film Resistors - SMD 2.2K OHM 1%,RC0603FR-072K2L,3480,-20.0,0.0,290,Low - not enough data,-7.0
84,1570pkx9p8hdmbfpmbba4jt6y2,Chipwhisperer Husky L0 kit,,6,-3.827678571428571,23.100000000000005,21,High,16.100000000000005
85,2pn9hkk15rkb98yre16c0eh46v,FOR CHIPSHOUTER END COVERS,,12,-38.5,0.0,146,Low - not enough data,-153.0
86,36vngmv82wkwd8gcrv9ty2z8bz,with PROP65 Warning Label printed (small orange box for UFO targets),,1884,-59.163333333333334,17.841634738186464,17,Low,546.0906768837804
87,23y6bcmhnyghqan6ghm5t8btpb,Heat Sink Kit for Raspberry Pi 4B - Black Aluminum,110991328,174,-120.27083333333333,16.484126984126984,45,High,9.484126984126984
88,2ssg5dke98gn3a3464gr9n4vjc,Chipshover case label,,5,-6.666666666666667,0.0,215,Low - not enough data,-222.0
89,2942vqe8wegqa8qmb6zbgsxwp4,Other Modules ChipSHOUTER Electromagnetic Fault Injection (EMFI) Kit,,1,-1.3875,7.942857142857143,21,High - overdue for batch,-20.0
90,3px31r7e7rh159s7efsabrhj9e,"SMA Male to MCX Male, 15cm (12"")",,322,-40.27708333333333,15.39722222222222,17,Low,100.78055555555554
91,2h4f13mkxwk16bqqyk6ynvsa7s,Res Thick Film 0603 200K Ohm 1% 0.1W(1/10W) ?100ppm/C Molded SMD Paper T/R,RC0603FR-07200KL,2444,-28.0,7.0,12,Low,602.0
92,1jhnjy9zb4h5kb899v638d6ep6,Connector Shrouded Header 20 Position 2.54mm Solder Straight Thru-Hole,75869-104LF,2,-30.0,0.0,19,Low - not enough data,-26.0
93,1958pkhmawjvpazfssz0qgphd5,iCE40 (small FPGA) target,,7,-23.072499999999998,10.517293233082707,3,High,0.0
94,2adgc0mt0ak2b8jr2t51y8kryw,TL3301 Series SPST 1.6 N Round Button J-Bend Surface Mount Tactile Switch,TL3301AF160QJ,8,-52.0,9.0,67,High - overdue for batch,-65.0
95,1cy3j4fph2jb1b03qdwaj0bcyk,"2 C, Open Top, .100"" CC; No Mounting, 105 C, PBT; Phos Bronze, Gold Flash",SPC02SXCN-RC,851,-71.45,7.833333333333332,31,Medium,79.16666666666666
96,2eazr3k6twjwkbc8tm07y70d11,UFO TARGET EFR32MG21A TESTED,,32,-13.476190476190476,45.333333333333336,31,Medium,83.66666666666667
97,2n6s2mn86rja182vc2ymqb6g4j,,FDV301N,444,-10.0,0.0,334,Low - not enough data,-7.0
98,1qkbs3qexcjg9bgpr88m2javxc,"connector, rf coaxial, sma in-series adapter, straight plug to plug, 50 ohm",132168,57,-13.869090909090911,9.855,7,Medium,32.42
99,1fd31jxd96gvm8fwfd2dtbgrwb,Low Speed/Full Speed/High Speed USB Interface Device USB 1.1/USB 2.0 3.3V Tray 56-Pin QFN EP,USB3500-ABZJ,2449,-1.0,0.0,332,Low - not enough data,-7.0
100,46d572wcf6k1198ss685hhjd3r,"USB Full Speed to Basic UART IC with USB Charger Detection, SSOP-16",FT230XS-U,1,-71.0,0.0,187,Low - not enough data,-194.0
101,1xzc2pkamjkkpagmdgcgdga1fk,Switch Tactile N.O. SPST Round Button J-Bend 0.01A,KSC243JLFG,0,-51.0,0.0,188,Low - not enough data,-195.0
102,349yj18cs0k41b0cyjcnc6ryw0,BROWN BOX CORRUGATED BOXES,S-4393,50,-4.0,0.0,327,Low - not enough data,-7.0
103,35mzx02sgwhk795kdfwhnsred8,PROBE SET with Power Supply KIT SLEEVE COVER,,9,-18.75,49.0,69,High - overdue for batch,-27.0
104,4drepgntqek978nk5rtf9616pw,Res Thick Film 0402 3.3K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R,RMCF0402FT3K30,9688,-144.0,14.0,110,Low,931.0
105,2t4bras5h4jc7a1fcjyq51002v,JUMPER WIRE VARIOUS 20PCS,920-0067-01,18,-360.5857142857143,11.132967032967034,17,High - overdue for batch,-12.0
106,4734tpvnkwgc6b6a5p8z9fnn0g,MCU 32-Bit SAM4S ARM Cortex M4 RISC 128KB Flash 1.2V/3.3V 48-Pin QFN Tray,ATSAM4S2AA-MU,0,-188.5,0.0,182,Low - not enough data,-189.0
107,2qx6gvhwfthbh91tz30axbahej,Conn; Rect; UnshroudedHdr; 5Cnts; ThruHole; BergStik; 2.54mmPin-Spng; Vert; 1-Row,68000-105HLF,78,-22.444444444444443,116.5,98,Low,342.5
108,3a6w56t7jyh3basfysfet05662,,MR3010H05B1-RSR,9,-3.0,35.333333333333336,68,Low,99.0
109,38ayrzy4qwjgxawa45sm10xb7d,Ferrite Beads Multi-Layer 600Ohm 25% 100MHz 500mA 380mOhm DCR 0603 Automotive Paper T/R,BLM18AG601SN1D,650,-100.0,0.0,334,Low - not enough data,-7.0
110,2r1nty4az0j1kamsjw2qck4d7k,AC Power Cords 250V/2.5A 6'Cord BSI Plug BS1363AW/3AFUSE,370021-01,8,-1.0,0.0,199,Low - not enough data,-7.0
111,4n1kmp1e7jj9h8n1wpg0njdt1z,CWLITE 2PART SLEEVE COVER,,56,-29.722222222222225,127.0,75,Low,120.0
112,23e3g6a834h7pan2stbz4xs7mb,10x10x6 BROWN BOX,S-19857,29,-21.0,0.0,327,Low - not enough data,-7.0
113,1w45xvhqqphgq8av34zemw56j5,"RES, 300K, 1%, 3W, 2512, THICK FILM",3522300KFT,400,-100.0,0.0,76,Low - not enough data,-7.0
114,3b67bnkaqrhye8hwz84rrw4e37,"Rf Coax Conn, Plug, Cable, 50 Ohm Rohs Compliant: Yes |Huber+Suhner 11_MCX-50-2-19/111_NH",11_MCX-50-2-19/111_NH,117,-50.0,0.0,199,Low - not enough data,-7.0
115,38rhybbt6cggp8cqwvbd576tct,"Cable 20POS Socket to Socket 3""",D89120-0131HK-3365/20-D-3,36,-9.375,90.0,61,Low,263.0
116,2vbj00qynwk0mam5krq6svxjvr,Res Cermet Trimmer 5K Ohm 10% 1/4W 5(Elec)Turn 1.5mm (4.8 X 5 X 3.71mm) J-Hook SMD Embossed T/R,3214J-1-502E,247,-43.20000000000001,7.0,110,High,28.0
117,4zh4vpnjzrkdfaraz80xtddze0,ARM XMEGA Target for CW308,,0,-9.375,107.33333333333333,5,Low,95.0
118,3hhhbm307rkembk67111n0ebds,WHITE BOX FOR NAE-SCAPACK-L2 KIT (12X12X4),S-11244,43,-17.0,11.6,7,High,16.2
119,3de4zjfx36j1xbt4vy7g916pxq,Hammond Black Flame Retardant ABS Plastic (3.30 x 2.20 x 0.80) Enclosure with No Flange,1591MBK,3,-13.7,69.5,19,Medium,43.0
120,2wayfsx27rgm0bx5q1rgg3b16f,"ALUMINUM ELECTROLYTIC CAPACITOR 220UF, 16V, 20%, RADIAL",227CKE016M,19,-50.0,0.0,98,Low - not enough data,-105.0
121,34kw7dmr3rjkpbc6wq64x1fcwn,PCA for UFO Main Board,,223,-36.230000000000004,36.97222222222222,27,Low,214.83333333333331
122,52f0zg94v8j3cadsntmvweedmx,"SMD Chip Resistor, 14.7 kOhm, ï¿½ 1%, 62.5 mW, 0402 [1005 Metric], Thick Film, General Purpose",RC0402FR-0714K7L,9945,-50.0,0.0,67,Low - not enough data,-7.0
123,2bkc405tbcgwj84symf6v1n3ms,CUSTOMIZED PINK FOAM FOR CHIPSHOUTER UNIT,,19,-17.033333333333335,44.13888888888889,39,Medium,37.13888888888889
124,3k2bx4gph2gdham84zbh6zd9ax,Processor Supervisor 3V 1 Active Low/CMOS 3-Pin SSOP T/R,BD49K30G-TL,717,-100.0,0.0,334,Low - not enough data,-7.0
125,3n8qc2h03rgqd94t1748vdn3vx,"18-8 Stainless Steel Socket Head Screw, M3 x 0.5 mm Thread, 10 mm Long",91292A113,646,-91.78,58.166666666666664,14,Low,400.16666666666663
126,55ddyd3znwg1qbqd3keym2y3c5,Test Point; Compact; THM; PC; .350 L; .125 OD; Heat Resistant Nylon 46; Orange,5008,114,-36.44444444444444,133.0,62,Low,392.0
127,56e0nfptq6gbf9cstqt361zrx9,Chipshouter injection probe tips label,,30,-10.75909090909091,32.0,6,Medium,57.0
128,3phfmq03r4hfj9d8h30rc92cf7,Cable Assembly AC Power 1.82m CEE 7/VII to C5 3 to 3 POS M-F 19AWG,364012-01,5,-8.152272727272727,22.452380952380953,3,High,12.0
129,33tt4sgc9ghmmbvhmw31q4y62j,Non-Lighted Pushbutton Switch Black Thermoplastic SPST 250AC,MJTP1230,54,-31.38888888888889,77.66666666666667,98,Medium,70.66666666666667
130,560ptxwtn6gnw8za7n6h812d63,"Metal Film Resistor, 10KOHM, 250mW",,870,-100.0,0.0,98,Low - not enough data,-7.0
131,3cq1k2haawkqybw0f9ht8mevvh,Red Square Non-Illuminated Snap Fit Pushbutton Switch Cap,4JRED,12,-13.333333333333334,0.0,215,Low - not enough data,-222.0
132,2mdx2hydmahm592wxt9vbe9rw8,Development Boards & Kits - ARM ChipWhisperer-Nano,,34,-18.145714285714284,30.722222222222225,21,High,23.722222222222225
133,5fa1ap8cnwjqt9r0a3vb7vxqa2,CW-Target - NOTDUINO Blank PCB,,141,-50.0,0.0,98,Low - not enough data,-7.0
134,3xhhcegyhrgr8bd9ve07yj45gq,Res Thick Film 0805 75 Ohm 5% 1/4W ±200ppm/°C Molded SMD SMD Punched Carrier T/R,ERJ-P06J750V,1402,-100.0,0.0,76,Low - not enough data,-7.0
135,340ravwnqjkg18djx3g2mje500,CW341 (Kintex UltraScale) KU095,,0,-9.2,32.5,203,High - overdue for batch,-177.0
136,3xs0as2w2rkgr86c1mp8gdhc50,Contact PIN Solder ST Thru-Hole Bulk,9022-0-00-15-00-00-33-0,96,-16.666666666666668,0.0,60,Low - not enough data,-7.0
137,34tx2c1h0ah8jba1c4vxzmfxxt,"PCA for CW305, 7A35 Variant",,1,-4.166666666666667,41.88888888888889,98,High - overdue for batch,-63.0
138,57bk6ph0r6jzxbcm402a7crc9c,,,0,-5.0,1.0,311,High - overdue for batch,-317.0
139,3h15wwvdz6ggybdarnt2ykk2a8,"SMD Chip Resistor, 220 kOhm, ï¿½ 1%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose",RC0402FR-07220KL,9000,-1000.0,0.0,334,Low - not enough data,-7.0
140,2tebx70ha6j2aaw239engrdnpj,Chipshouter hardware accessories kit,,30,-11.07857142857143,31.666666666666668,6,Medium,56.333333333333336
141,2rea0dfvx8jambkm8tbn5akjrz,Heatsink Brass Push Pin 14MM,ATS-PP-06,6,-19.666666666666668,135.0,61,Medium,67.0
142,2xp8g06zn8jyv9ageyqsfy46mn,Nylon Tubluar Spacer 0.062 in. Length 0.25 OD 0.147 I,9905-062,1117,-323.15000000000003,11.904761904761905,69,High,28.714285714285715
143,5vkjm4b03yk7v822zrt9z3b5cd,Res Thick Film 0402 10K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R,RMCF0402FT10K0,0,-160.0,28.0,110,High - overdue for batch,-89.0
144,41jsaebvnghh690ac3922q854m,"Right Angle USB C-C, 12""",,127,-9.666666666666666,112.0,61,Low,1449.0
145,5e9apj5chtjbr84qcdf7a586r9,LDA111 Series Single Channel 30V 8500 Vrms Transistor Output Optocoupler - DIP-6,LDA111STR,8,-50.0,0.0,76,Low - not enough data,-83.0
146,2yatvbypbrg74btcq64erkdnsz,USB to DC Power Jack Cable(Ferrite on DC end),,0,-23.0,0.0,33,Low - not enough data,-40.0
147,4412z5mnwwgkfahe7ad5r0v1mn,"PCA for CW305, 7A100 Variant",,6,-18.905555555555555,19.75,48,High - overdue for batch,-35.0
148,3aehejcmhjg0e8fy03a0n38gmk,"Surface Mount Thick Film Resistor, RC Series, 220 ohm, 100 mW, - 1%, 50 V, 0603 [1608 Metric]",RC0603FR-07220RL,1181,-174.0,1.0,187,High - overdue for batch,-1.0
149,5fcf2sdrfckr4b3khekby5bx4r,"Jumper Wire Female 7"" 100PCS (BLACK female-female)",920-0110-01,0,-54.34920634920635,20.897435897435898,116,High - overdue for batch,-102.0
150,35g4yx1eg6kds9na71ayarchzr,"PCB for NPCA-DIFFPROBE-02 (Single PCB, ordered in Panel)",,227,-54.0,9.333333333333334,110,Medium,30.333333333333336
151,45tdwhtzw6j618nzpy7p1ejep9,"KK 254 Crimp Housing, Friction Ramp with Polarizing Ribs, 4 Circuits, Natural",22-01-3047,829,-16.0,0.0,329,Low - not enough data,-7.0
152,4c9s1asqpmg0589fc156rfg18k,HARDWARE HACKING HANDBOOK,,27,-1.0,0.0,209,Low - not enough data,-7.0
153,3ej2cvatspkn1b103wyapp4jbc,PCA: ChipSHOUTER main board,,87,-23.333333333333332,42.0,39,Low,119.0
